                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.32059,                0.30053,                 1.0165,                0.66342,                0.38061,                0.46398,                 0.3079,                 1.8577,                 3.8319,                 2.7776,             0.00049529,             0.00049529,             0.00049529
                     68,                0.29591,                0.29027,                  1.013,                0.53951,                0.40865,                0.47337,                0.27844,                 1.8924,                 2.9712,                  2.628,             0.00048114,             0.00048114,             0.00048114
                     69,                0.30841,                 0.2962,                 1.0244,                0.65928,                0.40446,                 0.5065,                0.32927,                 1.9155,                 3.7014,                  2.734,               0.000467,               0.000467,               0.000467
                     70,                0.29025,                0.28301,                 1.0182,                0.62355,                0.41131,                0.48095,                 0.3091,                 1.8961,                 4.2647,                 2.8031,             0.00045285,             0.00045285,             0.00045285
                     71,                0.29553,                0.29994,                 1.0078,                0.69572,                0.39891,                0.49287,                0.31855,                 1.7832,                 3.7821,                 2.6776,              0.0004387,              0.0004387,              0.0004387
                     72,                  0.296,                0.28683,                 1.0186,                0.74962,                0.42949,                0.53355,                0.34212,                 1.7355,                 3.2175,                 2.5856,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.2868,                0.29153,                 1.0013,                0.64463,                0.43119,                0.51771,                0.33373,                 1.7439,                 3.3082,                 2.5702,             0.00041041,             0.00041041,             0.00041041
                     74,                0.30384,                0.29364,                 1.0233,                0.58474,                 0.4334,                0.49156,                0.30927,                 1.7669,                 3.6792,                 2.5551,             0.00039626,             0.00039626,             0.00039626
                     75,                0.30054,                0.28116,                 1.0131,                0.65701,                0.46795,                0.51282,                0.33989,                 1.7697,                  3.439,                 2.5785,             0.00038211,             0.00038211,             0.00038211
                     76,                0.28837,                0.30103,                0.99901,                 0.6177,                0.39755,                0.45152,                0.29592,                 1.9573,                 4.1501,                 2.9721,             0.00036797,             0.00036797,             0.00036797
                     77,                0.30232,                0.29144,                 1.0097,                0.55528,                0.42949,                0.43344,                0.26577,                 1.9701,                 4.0121,                 3.0332,             0.00035382,             0.00035382,             0.00035382
                     78,                0.28603,                0.27485,                 1.0052,                0.57438,                0.39328,                0.44709,                0.27713,                 2.0316,                  4.322,                 3.2068,             0.00033967,             0.00033967,             0.00033967
                     79,                0.28001,                0.26946,                 1.0088,                0.65532,                0.37543,                0.46504,                0.28609,                 1.8863,                 4.3483,                 3.0074,             0.00032553,             0.00032553,             0.00032553
                     80,                0.29012,                0.27605,                0.99624,                0.54263,                0.41394,                0.47739,                0.25885,                 1.8235,                 3.8441,                  2.831,             0.00031138,             0.00031138,             0.00031138
